stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
0180,,"Juglas iela",,56.98901,24.23837,https://saraksti.lv/#stop/0180,,
0181,,"Juglas iela",,56.98996,24.24245,https://saraksti.lv/#stop/0181,,
0301,,"Mārkalnes iela",,56.98809,24.23085,https://saraksti.lv/#stop/0301,,
3107,,"Mārkalnes iela",,56.98801,24.22874,https://saraksti.lv/#stop/3107,,
3145,,"Mārkalnes iela",,56.98806,24.22943,https://saraksti.lv/#stop/3145,,
3109,,"Meža skola",,56.98630,24.21433,https://saraksti.lv/#stop/3109,,
3143,,"Meža skola",,56.98637,24.21506,https://saraksti.lv/#stop/3143,,
3247,,"Meža skola",,56.98625,24.21517,https://saraksti.lv/#stop/3247,,
0436,,"Sporta akadēmija",,56.98551,24.20957,https://saraksti.lv/#stop/0436,,
0045,,"Tirzas iela",,56.98713,24.22266,https://saraksti.lv/#stop/0045,,
3108,,"Tirzas iela",,56.98723,24.22210,https://saraksti.lv/#stop/3108,,
3144,,"Tirzas iela",,56.98728,24.22280,https://saraksti.lv/#stop/3144,,
0363,,"Ciemupes iela",,56.98800,24.24451,https://saraksti.lv/#stop/0363,,
0177,,"Jugla",,56.97539,24.25444,https://saraksti.lv/#stop/0177,,
0176,,"Jugla",,56.97680,24.25447,https://saraksti.lv/#stop/0176,,
0339,,"Pāles iela",,56.98676,24.24812,https://saraksti.lv/#stop/0339,,
0338,,"Pāles iela",,56.98531,24.24798,https://saraksti.lv/#stop/0338,,
0165,,"Strazdumuižas vidusskola",,56.98258,24.25132,https://saraksti.lv/#stop/0165,,
0166,,"Strazdumuižas vidusskola",,56.98277,24.25069,https://saraksti.lv/#stop/0166,,
0430,,"Ūdeļu iela",,56.97561,24.25291,https://saraksti.lv/#stop/0430,,
0427,,"Ūdeļu iela",,56.97577,24.25352,https://saraksti.lv/#stop/0427,,
0525,,"Liepkalna iela",,56.97214,24.26302,https://saraksti.lv/#stop/0525,,
0526,,"Liepkalna iela",,56.97238,24.26228,https://saraksti.lv/#stop/0526,,
0138,,"Mazā Juglas iela",,56.97041,24.27056,https://saraksti.lv/#stop/0138,,
0170,,"Jugla",,56.97801,24.25489,https://saraksti.lv/#stop/0170,,
0179,,"Jugla",,56.97772,24.25484,https://saraksti.lv/#stop/0179,,
0232,,"Kvēles iela",,56.98042,24.24459,https://saraksti.lv/#stop/0232,,
0231,,"Kvēles iela",,56.98077,24.24378,https://saraksti.lv/#stop/0231,,
0706,,"Mārkalnes iela",,56.98771,24.23040,https://saraksti.lv/#stop/0706,,
0303,,"Murjāņu iela",,56.97882,24.25009,https://saraksti.lv/#stop/0303,,
0302,,"Murjāņu iela",,56.97900,24.24919,https://saraksti.lv/#stop/0302,,
0061,,"Brīvības gatve",,56.98856,24.23747,https://saraksti.lv/#stop/0061,,
0424,,"Silciema iela",,56.98832,24.23743,https://saraksti.lv/#stop/0424,,
0505,,"Slēpotāju iela",,56.98553,24.23903,https://saraksti.lv/#stop/0505,,
0506,,"Slēpotāju iela",,56.98469,24.23924,https://saraksti.lv/#stop/0506,,
0062,,"Sporta akadēmija",,56.98450,24.20930,https://saraksti.lv/#stop/0062,,
1801,,"Mārkalnes iela",,56.98809,24.22881,https://saraksti.lv/#stop/1801,,
1803,,"Meža skola",,56.98637,24.21404,https://saraksti.lv/#stop/1803,,
1804,,"Sporta akadēmija",,56.98582,24.20966,https://saraksti.lv/#stop/1804,,
1802,,"Tirzas iela",,56.98735,24.22240,https://saraksti.lv/#stop/1802,,
0285,,"Dambjapurva iela",,56.97372,24.24305,https://saraksti.lv/#stop/0285,,
1303,,"Dzelzskalni",,56.88337,24.18330,https://saraksti.lv/#stop/1303,,
1306,,"Dzelzskalni",,56.88336,24.18274,https://saraksti.lv/#stop/1306,,
1304,,"Kalnavoti",,56.88324,24.18980,https://saraksti.lv/#stop/1304,,
8056,,"Kalnavoti",,56.88315,24.18988,https://saraksti.lv/#stop/8056,,
1305,,"Katlakalns",,56.88444,24.19306,https://saraksti.lv/#stop/1305,,
1052,,"Baltegļu iela",,56.97730,24.02667,https://saraksti.lv/#stop/1052,,
1051,,"Kleistu iela",,56.97595,24.03262,https://saraksti.lv/#stop/1051,,
1053,,"Kleistu iela",,56.97577,24.03330,https://saraksti.lv/#stop/1053,,
1194,,"Bumbu kalniņš",,57.00249,24.02761,https://saraksti.lv/#stop/1194,,
1195,,"Bumbu kalniņš",,57.00324,24.02751,https://saraksti.lv/#stop/1195,,
0622,,"Gaiļi",,56.97606,24.03511,https://saraksti.lv/#stop/0622,,
0630,,"Gaiļi",,56.97492,24.03392,https://saraksti.lv/#stop/0630,,
1192,,"Jaunie Bolderājas kapi",,57.01715,24.01762,https://saraksti.lv/#stop/1192,,
1193,,"Jaunie Bolderājas kapi",,57.01671,24.01797,https://saraksti.lv/#stop/1193,,
0623,,"Kleistu iela 37",,56.97889,24.03557,https://saraksti.lv/#stop/0623,,
0629,,"Kleistu iela 37",,56.97801,24.03554,https://saraksti.lv/#stop/0629,,
1198,,"Pagrieziens uz Kleistiem",,56.98431,24.03281,https://saraksti.lv/#stop/1198,,
1199,,"Pagrieziens uz Kleistiem",,56.98294,24.03337,https://saraksti.lv/#stop/1199,,
1196,,"Spilves pļavas",,56.99789,24.02935,https://saraksti.lv/#stop/1196,,
1197,,"Spilves pļavas",,56.99717,24.02943,https://saraksti.lv/#stop/1197,,
1190,,"Lielā iela",,57.02211,24.01856,https://saraksti.lv/#stop/1190,,
1191,,"Lielā iela",,57.02200,24.01860,https://saraksti.lv/#stop/1191,,
0626,,"Kleisti",,56.98686,24.01407,https://saraksti.lv/#stop/0626,,
0626a,,"Kleisti",,56.98702,24.01420,https://saraksti.lv/#stop/0626a,,
0625,,"Mikrobioloģijas institūts",,56.98505,24.02564,https://saraksti.lv/#stop/0625,,
0627,,"Mikrobioloģijas institūts",,56.98496,24.02532,https://saraksti.lv/#stop/0627,,
0624,,"Pagrieziens uz Kleistiem",,56.98376,24.03169,https://saraksti.lv/#stop/0624,,
10521,,"Baltegļu iela",,56.97716,24.02589,https://saraksti.lv/#stop/10521,,
9116,,"Lāčupes kapi",,56.97625,24.02474,https://saraksti.lv/#stop/9116,,
0429,,"Kundziņsala",,57.00107,24.10583,https://saraksti.lv/#stop/0429,,
0478,,"Aglonas iela",,56.91205,24.17730,https://saraksti.lv/#stop/0478,,
0477,,"Aglonas iela",,56.91277,24.17724,https://saraksti.lv/#stop/0477,,
0203,,"Dienvidu tilts",,56.92137,24.17137,https://saraksti.lv/#stop/0203,,
0204,,"Dienvidu tilts",,56.92145,24.17049,https://saraksti.lv/#stop/0204,,
3154,,"Dienvidu tilts",,56.92139,24.17105,https://saraksti.lv/#stop/3154,,
3178,,"Dienvidu tilts",,56.92101,24.17125,https://saraksti.lv/#stop/3178,,
0230,,"Eglaines iela/Dole",,56.90503,24.19140,https://saraksti.lv/#stop/0230,,
0229,,"Eglaines iela/Dole",,56.90472,24.19117,https://saraksti.lv/#stop/0229,,
3148,,"Eglaines iela/Dole",,56.90638,24.18823,https://saraksti.lv/#stop/3148,,
3184,,"Eglaines iela/Dole",,56.90642,24.18803,https://saraksti.lv/#stop/3184,,
0202,,"Ikšķiles iela",,56.90037,24.20276,https://saraksti.lv/#stop/0202,,
0201,,"Ikšķiles iela",,56.89931,24.20456,https://saraksti.lv/#stop/0201,,
0198,,"Ķengaraga iela",,56.91887,24.17329,https://saraksti.lv/#stop/0198,,
0197,,"Ķengaraga iela",,56.91763,24.17343,https://saraksti.lv/#stop/0197,,
3153,,"Ķengaraga iela",,56.91850,24.17324,https://saraksti.lv/#stop/3153,,
3179,,"Ķengaraga iela",,56.91808,24.17344,https://saraksti.lv/#stop/3179,,
0261,,"Malnavas iela",,56.90766,24.18506,https://saraksti.lv/#stop/0261,,
0262,,"Malnavas iela",,56.90874,24.18352,https://saraksti.lv/#stop/0262,,
3149,,"Malnavas iela",,56.90875,24.18302,https://saraksti.lv/#stop/3149,,
3183,,"Malnavas iela",,56.90850,24.18357,https://saraksti.lv/#stop/3183,,
0370,,"Prūšu iela",,56.91422,24.17554,https://saraksti.lv/#stop/0370,,
0369,,"Prūšu iela",,56.91452,24.17597,https://saraksti.lv/#stop/0369,,
3152,,"Prūšu iela",,56.91469,24.17557,https://saraksti.lv/#stop/3152,,
3180,,"Prūšu iela",,56.91426,24.17575,https://saraksti.lv/#stop/3180,,
0376,,"Rasas iela",,56.90180,24.19860,https://saraksti.lv/#stop/0376,,
0377,,"Rasas iela",,56.90280,24.19686,https://saraksti.lv/#stop/0377,,
0401,,"Rušonu iela",,56.91067,24.17951,https://saraksti.lv/#stop/0401,,
0404,,"Rušonu iela",,56.90982,24.17997,https://saraksti.lv/#stop/0404,,
3150,,"Rušonu iela",,56.91050,24.17936,https://saraksti.lv/#stop/3150,,
3182,,"Rušonu iela",,56.91011,24.17984,https://saraksti.lv/#stop/3182,,
0513,,"Višķu iela",,56.89627,24.21180,https://saraksti.lv/#stop/0513,,
0515,,"Višķu iela",,56.89632,24.21241,https://saraksti.lv/#stop/0515,,
0100,,"Daugmales stacija",,56.91003,24.19949,https://saraksti.lv/#stop/0100,,
0101,,"Daugmales stacija",,56.91068,24.19835,https://saraksti.lv/#stop/0101,,
